frequency_hz,frequency_ghz,wavelength_m,cback_m2,rcs_normalized
4.736000000000000000e+09,4.735999999999999766e+00,6.330077238175675636e-02,1.717839481682771272e-02,2.429273926131767652e-03
4.752000000000000000e+09,4.751999999999999780e+00,6.308763846801346276e-02,2.131803412587802288e-03,3.014678903971432559e-04
4.768000000000000000e+09,4.767999999999999794e+00,6.287593498322147090e-02,4.125290698800079814e-02,5.833758764522078977e-03
4.784000000000000000e+09,4.783999999999999808e+00,6.266564757525083795e-02,5.300878557109042072e-02,7.496210327964737512e-03
4.800000000000000000e+09,4.799999999999999822e+00,6.245676208333333229e-02,2.589276915494662882e-03,3.661612720755734354e-04
4.816000000000000000e+09,4.815999999999999837e+00,6.224926453488371925e-02,8.078508279203726328e-02,1.142418120783028103e-02
4.832000000000000000e+09,4.831999999999999851e+00,6.204314114238410754e-02,7.186862574134514348e-02,1.016326498965710277e-02
4.848000000000000000e+09,4.847999999999999865e+00,6.183837830033003108e-02,1.122522319361902998e-02,1.587409202666352362e-03
4.864000000000000000e+09,4.863999999999999879e+00,6.163496258223684354e-02,1.009108578200529072e-01,1.427025740063377242e-02
4.880000000000000000e+09,4.879999999999999893e+00,6.143288073770492019e-02,4.939411962628866698e-02,6.985044190207698699e-03
4.896000000000000000e+09,4.895999999999999908e+00,6.123211968954248713e-02,1.029597132892232439e-02,1.455999524999280299e-03
4.912000000000000000e+09,4.911999999999999922e+00,6.103266653094462785e-02,6.169731148469149301e-02,8.724893780842147076e-03
4.928000000000000000e+09,4.927999999999999936e+00,6.083450852272727361e-02,2.275567815539920533e-02,3.217982599876342050e-03
4.944000000000000000e+09,4.943999999999999950e+00,6.063763309061488693e-02,6.260937250667000450e-03,8.853872424269476149e-04
4.960000000000000000e+09,4.959999999999999964e+00,6.044202782258064482e-02,2.136636850956614639e-02,3.021514086145391485e-03
4.976000000000000000e+09,4.975999999999999979e+00,6.024768046623794199e-02,2.866219619944766761e-02,4.053249831281345063e-03
4.992000000000000000e+09,4.991999999999999993e+00,6.005457892628204841e-02,1.657570674845326372e-02,2.344045100871646869e-03
5.008000000000000000e+09,5.008000000000000007e+00,5.986271126198083187e-02,1.011401143620281086e-02,1.430267759738404823e-03
5.024000000000000000e+09,5.024000000000000021e+00,5.967206568471337264e-02,8.023224689062401216e-02,1.134600220129020585e-02
5.040000000000000000e+09,5.040000000000000036e+00,5.948263055555555456e-02,2.579621226994100597e-02,3.647958178196094789e-03
5.056000000000000000e+09,5.056000000000000050e+00,5.929439438291139036e-02,2.779779595983815701e-02,3.931011113041592460e-03
5.072000000000000000e+09,5.072000000000000064e+00,5.910734582018927624e-02,1.172745449152582803e-01,1.658431985056773791e-02
5.088000000000000000e+09,5.088000000000000078e+00,5.892147366352201016e-02,2.976415070464334678e-02,4.209082164616296563e-03
5.104000000000000000e+09,5.104000000000000092e+00,5.873676684952978261e-02,4.731527959363644037e-02,6.691066089123773319e-03
5.120000000000000000e+09,5.120000000000000107e+00,5.855321445312500206e-02,1.039678329509732546e-01,1.470255797688455220e-02
5.136000000000000000e+09,5.136000000000000121e+00,5.837080568535825409e-02,9.778930415543826693e-03,1.382882448403546924e-03
5.152000000000000000e+09,5.152000000000000135e+00,5.818952989130434655e-02,3.215954301833902351e-02,4.547825344789166099e-03
5.168000000000000000e+09,5.168000000000000149e+00,5.800937654798761500e-02,5.885738820163977786e-02,8.323287480760260121e-03
5.184000000000000000e+09,5.184000000000000163e+00,5.783033526234567651e-02,6.504082066232734147e-03,9.197714422911483674e-04
5.200000000000000000e+09,5.200000000000000178e+00,5.765239576923077147e-02,1.537466177440413931e-02,2.174199939511690591e-03
5.216000000000000000e+09,5.216000000000000192e+00,5.747554792944785385e-02,2.547390923236192081e-02,3.602379858809876250e-03
5.232000000000000000e+09,5.232000000000000206e+00,5.729978172782874274e-02,3.707986586859605277e-02,5.243630286736997853e-03
5.248000000000000000e+09,5.248000000000000220e+00,5.712508727134146119e-02,2.342134056053107524e-03,3.312116908793782130e-04
5.264000000000000000e+09,5.264000000000000234e+00,5.695145478723404042e-02,4.749210908260698139e-02,6.716072340959744827e-03
5.280000000000000000e+09,5.280000000000000249e+00,5.677887462121212342e-02,7.695598710980448842e-02,1.088269159831217921e-02
5.296000000000000000e+09,5.296000000000000263e+00,5.660733723564954911e-02,4.309866071542618922e-03,6.094775084842224801e-04
5.312000000000000000e+09,5.312000000000000277e+00,5.643683320783132729e-02,7.958334609185056807e-02,1.125423822637200075e-02
5.328000000000000000e+09,5.328000000000000291e+00,5.626735322822822710e-02,1.107508252622479289e-01,1.566177136897578884e-02
5.344000000000000000e+09,5.344000000000000306e+00,5.609888809880239635e-02,9.677110406629082021e-03,1.368483623865366467e-03
5.360000000000000000e+09,5.360000000000000320e+00,5.593142873134328286e-02,9.924984507132353362e-02,1.403536613142693928e-02
5.376000000000000000e+09,5.376000000000000334e+00,5.576496614583333067e-02,7.524200705529433819e-02,1.064030998462073621e-02
5.392000000000000000e+09,5.392000000000000348e+00,5.559949146884272941e-02,2.215289293093866945e-03,3.132740035337947264e-04
5.408000000000000000e+09,5.408000000000000362e+00,5.543499593195266167e-02,6.423845002806040372e-02,9.084247589618708180e-03
5.424000000000000000e+09,5.424000000000000377e+00,5.527147087020648636e-02,3.987474530342349083e-02,5.638866734036326704e-03
5.440000000000000000e+09,5.440000000000000391e+00,5.510890772058823356e-02,5.709879622995449669e-03,8.074597095594888106e-04
5.456000000000000000e+09,5.456000000000000405e+00,5.494729802052785578e-02,1.971535993290854036e-02,2.788037551820696062e-03
5.472000000000000000e+09,5.472000000000000419e+00,5.478663340643274982e-02,3.385229996405048764e-02,4.787205703393282094e-03
5.488000000000000000e+09,5.488000000000000433e+00,5.462690561224489705e-02,3.510878575935714313e-02,4.964891000165210649e-03
5.504000000000000000e+09,5.503999999999999559e+00,5.446810646802325434e-02,2.226685366378163868e-03,3.148855734147425461e-04
5.520000000000000000e+09,5.519999999999999574e+00,5.431022789855072253e-02,8.997358610857203454e-02,1.272356870969206487e-02
5.536000000000000000e+09,5.535999999999999588e+00,5.415326192196531774e-02,6.515847877907797459e-02,9.214352985377174260e-03
5.552000000000000000e+09,5.551999999999999602e+00,5.399720064841498357e-02,1.896318196290588953e-02,2.681668688500112724e-03
5.568000000000000000e+09,5.567999999999999616e+00,5.384203627873563464e-02,1.669013906518246881e-01,2.360227488475452606e-02
